Case Number,Pre Buyout Disclosure Date,Buyout Agreement Date,Buyout Amount,Unknown Amount,Other Consideration,Number of Tenants,Block Address,ZIP Code,Supervisor District,Analysis Neighborhood,the_geom
B172918,11/15/17,2/12/18,63300,FALSE,FALSE,1,2200 Block of Pine Street,94115,2,Pacific Heights,"(37.78816109140878, -122.43242538124397)"
B172919,11/15/17,3/16/18,20000,FALSE,TRUE,2,1200 Block of Jones Street,94109,3,Nob Hill,"(37.79301225091248, -122.41435763927312)"
B172920,11/15/17,3/28/18,30000,FALSE,TRUE,2,1200 Block of Jones Street,94109,3,Nob Hill,"(37.79301225091248, -122.41435763927312)"
B172925,,11/16/17,55000,FALSE,TRUE,3,200 Block of Arguello Boulevard,94118,2,Presidio Heights,"(37.78615605226527, -122.45914820096483)"
B172950,11/21/17,2/23/18,90000,FALSE,TRUE,1,1800 Block of Grant Avenue,94133,3,North Beach,"(37.804155101094366, -122.40822031294562)"
B172951,11/13/17,1/11/18,15000,FALSE,FALSE,4,1300 Block of Stevenson Street,94103,6,Mission,"(37.770783954072236, -122.42159610332459)"
B172955,11/27/17,3/19/18,24000,FALSE,FALSE,1,300 Block of Sweeny Street,94134,9,Portola,"(37.73179972918755, -122.4120211729371)"
B172956,11/27/17,1/31/18,138000,FALSE,TRUE,2,400 Block of Bryant Street,94107,6,Financial District/South Beach,"(37.7826776233016, -122.39422265172959)"
B172957,11/27/17,3/1/18,85000,FALSE,FALSE,2,700 Block of Clipper Street,94114,8,Noe Valley,"(37.74869651396314, -122.44044923887064)"
B173020,11/29/17,4/2/18,15000,FALSE,FALSE,2,2200 Block of Turk Street,94118,2,Lone Mountain/USF,"(37.778847322838395, -122.44570168116236)"
B173025,,11/14/17,23676,FALSE,TRUE,3,300 Block of San Miguel Street,94112,11,Oceanview/Merced/Ingleside,"(37.719273892538745, -122.44888038320538)"
B173027,12/1/17,12/1/17,475,FALSE,TRUE,3,1200 Block of Folsom Street,94103,6,South of Market,"(37.7744195019047, -122.4108852660829)"
B173029,12/4/17,1/29/18,25000,FALSE,FALSE,2,0 Block of Exeter Street,94124,10,Bayview Hunters Point,"(37.72215346958928, -122.39861132843404)"
B173031,12/5/17,3/20/18,18000,FALSE,FALSE,1,1900 Block of 18th Avenue,94116,7,Inner Sunset,"(37.75149354876977, -122.47514241231458)"
