,lat.,long.,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source,"Unified School District Name","Unified School District LEA code","Unified School District Grade Low","Unified School District Grade High","Elementary School District Name","Elementary School District LEA code","Elementary School District Grade Low","Elementary School District Grade High","Secondary School District Name","Secondary School District LEA code","Secondary School District Grade Low","Secondary School District Grade High"
1211,37.782457,-122.475236,37.782457,-122.475236,1,nearest_street,1500,"Clement St","San Francisco",CA,"San Francisco County",94118,US,"TIGER/Line® dataset from the US Census Bureau","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1213,37.791727,-122.447112,37.791605,-122.447257,1,rooftop,3193,"Pacific Ave","San Francisco",CA,"San Francisco County",94115,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1214,37.773083,-122.391187,37.772975,-122.391172,1,rooftop,590,"Mission Rock St","San Francisco",CA,"San Francisco County",94158,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1216,37.761324,-122.38864,37.761247,-122.388941,1,rooftop,2230,"3rd St","San Francisco",CA,"San Francisco County",94107,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1217,37.761809,-122.391944,37.76171,-122.391723,1,rooftop,690,"Indiana St","San Francisco",CA,"San Francisco County",94107,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1218,37.7712,-122.4413,37.771016,-122.441282,1,rooftop,1146,"Haight St","San Francisco",CA,"San Francisco County",94117,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1219,37.774277,-122.43594,37.774277,-122.43594,1,nearest_street,1100,"Fell St","San Francisco",CA,"San Francisco County",94117,US,"TIGER/Line® dataset from the US Census Bureau","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1220,37.803569,-122.435416,37.803593,-122.435419,1,rooftop,1701,"N Point St","San Francisco",CA,"San Francisco County",94123,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1222,37.749892,-122.479312,37.749896,-122.479063,1,rooftop,2022,"22nd Ave","San Francisco",CA,"San Francisco County",94116,US,"San Francisco","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
1223,37.718119,-122.474484,37.718119,-122.474484,1,nearest_street,42,"Cambon Dr","San Francisco",CA,"San Francisco County",94132,US,"TIGER/Line® dataset from the US Census Bureau","San Francisco Unified School District",0634410,KG,12,"See unified",,,,"See unified",,,
